0 	0.000
1 	0.580
2 	0.072
3 	0.652
4 	0.145
5 	0.725
6 	0.217
7 	0.797
8 	0.290
9 	0.870
10 	0.362
11 	0.942
12 	0.435
13 	1.015
14 	0.507
15 	1.087
16 	0.000
17 	0.580
18 	0.072
19 	0.652
20 	0.145
21 	0.725
22 	0.217
23 	0.797
24 	0.290
25 	0.870
26 	0.362
27 	0.942
28 	0.435
29 	1.015
30 	0.507
31 	1.087
32 	0.000
33 	0.580
34 	0.072
35 	0.652
36 	0.145
37 	0.725
38 	0.217
39 	0.797
40 	0.290
41 	0.870
42 	0.362
43 	0.942
44 	0.435
45 	1.015
46 	0.507
47 	1.087
48 	0.000
49 	0.580
50 	0.072
51 	0.652
52 	0.145
53 	0.725
54 	0.217
55 	0.797
56 	0.290
57 	0.870
58 	0.362
59 	0.942
60 	0.435
61 	1.015
62 	0.507
63 	1.087
