0 	0.000
1 	0.145
2 	0.290
3 	0.435
4 	0.580
5 	0.725
6 	0.870
7 	1.015
8 	0.072
9 	0.217
10 	0.362
11 	0.507
12 	0.652
13 	0.797
14 	0.942
15 	1.087
16 	0.000
17 	0.145
18 	0.290
19 	0.435
20 	0.580
21 	0.725
22 	0.870
23 	1.015
24 	0.072
25 	0.217
26 	0.362
27 	0.507
28 	0.652
29 	0.797
30 	0.942
31 	1.087
32 	0.000
33 	0.145
34 	0.290
35 	0.435
36 	0.580
37 	0.725
38 	0.870
39 	1.015
40 	0.072
41 	0.217
42 	0.362
43 	0.507
44 	0.652
45 	0.797
46 	0.942
47 	1.087
48 	0.000
49 	0.145
50 	0.290
51 	0.435
52 	0.580
53 	0.725
54 	0.870
55 	1.015
56 	0.072
57 	0.217
58 	0.362
59 	0.507
60 	0.652
61 	0.797
62 	0.942
63 	1.087
